REF,NomTisane,NomLatin,Provenance,OrganeProducteur,Sb,Properties,Indications,ContreIndications,Note,Description
46,Maté,Ilex paraguariensis,Amérique du Sud,Feuilles,Caféine;théobromine;flavonoïdes,Stimulante;diurétique,Fatigue;faiblesse,Hypertension;insomnie,,"La tisane de Maté (Ilex paraguariensis) est originaire de Amérique du Sud. 
    Elle est issue des Feuilles et contient des composants tels que Caféine;théobromine;flavonoïdes. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Stimulante, diurétique. 
    Utilisée principalement pour traiter Fatigue, faiblesse, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Maté est idéale pour Fatigue, faiblesse, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Hypertension;insomnie.
    
    En résumé, la tisane de Maté est idéale pour Fatigue, faiblesse grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
47,Mauve,Malva sylvestris,Europe,Fleurs;Feuilles,Mucilages;flavonoïdes;tanins,Adoucissante;anti-inflammatoire,Toux sèche;irritation de la gorge,Aucune connue,,"La tisane de Mauve (Malva sylvestris) est originaire de Europe. 
    Elle est issue des Fleurs;Feuilles et contient des composants tels que Mucilages;flavonoïdes;tanins. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Adoucissante, anti-inflammatoire. 
    Utilisée principalement pour traiter Toux sèche, irritation de la gorge, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Mauve est idéale pour Toux sèche, irritation de la gorge, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Aucune connue.
    
    En résumé, la tisane de Mauve est idéale pour Toux sèche, irritation de la gorge grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
48,Mélisse,Melissa officinalis,Europe,Feuilles,Acide rosmarinique;citral;linalol,Antispasmodique;calmante,Anxiété;troubles digestifs;insomnie,Hypothyroïdie,,"La tisane de Mélisse (Melissa officinalis) est originaire de Europe. 
    Elle est issue des Feuilles et contient des composants tels que Acide rosmarinique;citral;linalol. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Antispasmodique, calmante. 
    Utilisée principalement pour traiter Anxiété, troubles digestifs, insomnie, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Mélisse est idéale pour Anxiété, troubles digestifs, insomnie, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Hypothyroïdie.
    
    En résumé, la tisane de Mélisse est idéale pour Anxiété, troubles digestifs, insomnie grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
49,Menthe poivrée,Mentha piperita,Moyen-Orient,Feuilles,Menthol;menthone;acides phénoliques,Stimulante;digestive;antiseptique,Maux de tête;troubles digestifs,Reflux gastro-œsophagien;allaitement,,"La tisane de Menthe poivrée (Mentha piperita) est originaire de Moyen-Orient. 
    Elle est issue des Feuilles et contient des composants tels que Menthol;menthone;acides phénoliques. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Stimulante, digestive, antiseptique. 
    Utilisée principalement pour traiter Maux de tête, troubles digestifs, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Menthe poivrée est idéale pour Maux de tête, troubles digestifs, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Reflux gastro-œsophagien;allaitement.
    
    En résumé, la tisane de Menthe poivrée est idéale pour Maux de tête, troubles digestifs grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
50,Menthe pouliot,Mentha pulegium,Europe,Feuilles,Menthol;flavonoïdes;acides phénoliques,Digestive;antispasmodique,Digestion difficile;ballonnements,Grossesse;allaitement,,"La tisane de Menthe pouliot (Mentha pulegium) est originaire de Europe. 
    Elle est issue des Feuilles et contient des composants tels que Menthol;flavonoïdes;acides phénoliques. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Digestive, antispasmodique. 
    Utilisée principalement pour traiter Digestion difficile, ballonnements, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Menthe pouliot est idéale pour Digestion difficile, ballonnements, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Grossesse;allaitement.
    
    En résumé, la tisane de Menthe pouliot est idéale pour Digestion difficile, ballonnements grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
51,Millepertuis,Hypericum perforatum,Europe,Fleurs,Hypericine;flavonoïdes;tanins,Antidépresseur;calmante,Dépression légère;anxiété,Grossesse;allaitement;interactions médicamenteuses,,"La tisane de Millepertuis (Hypericum perforatum) est originaire de Europe. 
    Elle est issue des Fleurs et contient des composants tels que Hypericine;flavonoïdes;tanins. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Antidépresseur, calmante. 
    Utilisée principalement pour traiter Dépression légère, anxiété, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Millepertuis est idéale pour Dépression légère, anxiété, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Grossesse;allaitement;interactions médicamenteuses.
    
    En résumé, la tisane de Millepertuis est idéale pour Dépression légère, anxiété grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
52,Oranger,Citrus aurantium,Méditerranée,Fleurs,Flavonoïdes;linalol;limonène,Sédative;digestive,Anxiété;troubles du sommeil;digestion difficile,Allergies aux agrumes,,"La tisane de Oranger (Citrus aurantium) est originaire de Méditerranée. 
    Elle est issue des Fleurs et contient des composants tels que Flavonoïdes;linalol;limonène. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Sédative, digestive. 
    Utilisée principalement pour traiter Anxiété, troubles du sommeil, digestion difficile, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Oranger est idéale pour Anxiété, troubles du sommeil, digestion difficile, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Allergies aux agrumes.
    
    En résumé, la tisane de Oranger est idéale pour Anxiété, troubles du sommeil, digestion difficile grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
53,Origan,Origanum vulgare,Méditerranée,Feuilles,Carvacrol;thymol;flavonoïdes,Antibactérienne;digestive,Infections respiratoires;digestion difficile,Grossesse,,"La tisane de Origan (Origanum vulgare) est originaire de Méditerranée. 
    Elle est issue des Feuilles et contient des composants tels que Carvacrol;thymol;flavonoïdes. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Antibactérienne, digestive. 
    Utilisée principalement pour traiter Infections respiratoires, digestion difficile, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Origan est idéale pour Infections respiratoires, digestion difficile, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Grossesse.
    
    En résumé, la tisane de Origan est idéale pour Infections respiratoires, digestion difficile grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
54,Ortie,Urtica dioica,Europe,Feuilles,Flavonoïdes;acides aminés;minéraux,Revitalisante;anti-inflammatoire,Fatigue;anémie;douleurs articulaires,Grossesse;insuffisance rénale,,"La tisane de Ortie (Urtica dioica) est originaire de Europe. 
    Elle est issue des Feuilles et contient des composants tels que Flavonoïdes;acides aminés;minéraux. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Revitalisante, anti-inflammatoire. 
    Utilisée principalement pour traiter Fatigue, anémie, douleurs articulaires, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Ortie est idéale pour Fatigue, anémie, douleurs articulaires, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Grossesse;insuffisance rénale.
    
    En résumé, la tisane de Ortie est idéale pour Fatigue, anémie, douleurs articulaires grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
55,Passiflore,Passiflora incarnata,Amérique du Nord,Fleurs,Flavonoïdes;alkaloïdes;glycosides,Sédative;antispasmodique,Insomnie;anxiété;nervosité,Grossesse;allaitement,,"La tisane de Passiflore (Passiflora incarnata) est originaire de Amérique du Nord. 
    Elle est issue des Fleurs et contient des composants tels que Flavonoïdes;alkaloïdes;glycosides. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Sédative, antispasmodique. 
    Utilisée principalement pour traiter Insomnie, anxiété, nervosité, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Passiflore est idéale pour Insomnie, anxiété, nervosité, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Grossesse;allaitement.
    
    En résumé, la tisane de Passiflore est idéale pour Insomnie, anxiété, nervosité grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
56,Plantain,Plantago lanceolata,Europe,Feuilles,Mucilages;flavonoïdes;acides phénoliques,Anti-inflammatoire;astringente,Toux;inflammations des voies respiratoires,Aucune connue,,"La tisane de Plantain (Plantago lanceolata) est originaire de Europe. 
    Elle est issue des Feuilles et contient des composants tels que Mucilages;flavonoïdes;acides phénoliques. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Anti-inflammatoire, astringente. 
    Utilisée principalement pour traiter Toux, inflammations des voies respiratoires, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Plantain est idéale pour Toux, inflammations des voies respiratoires, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Aucune connue.
    
    En résumé, la tisane de Plantain est idéale pour Toux, inflammations des voies respiratoires grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
57,Prêle,Equisetum arvense,Europe,Tige,Silice;flavonoïdes;saponines,Diurétique;reminéralisante,Rétention d'eau;fatigue;fragilité osseuse,Insuffisance rénale,,"La tisane de Prêle (Equisetum arvense) est originaire de Europe. 
    Elle est issue des Tige et contient des composants tels que Silice;flavonoïdes;saponines. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Diurétique, reminéralisante. 
    Utilisée principalement pour traiter Rétention d'eau, fatigue, fragilité osseuse, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Prêle est idéale pour Rétention d'eau, fatigue, fragilité osseuse, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Insuffisance rénale.
    
    En résumé, la tisane de Prêle est idéale pour Rétention d'eau, fatigue, fragilité osseuse grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
58,Prunellier,Prunus spinosa,Europe,Fleurs;Fruits,Flavonoïdes;tanins;acides phénoliques,Astringente;digestive,Diarrhée;troubles digestifs,Aucune connue,,"La tisane de Prunellier (Prunus spinosa) est originaire de Europe. 
    Elle est issue des Fleurs;Fruits et contient des composants tels que Flavonoïdes;tanins;acides phénoliques. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Astringente, digestive. 
    Utilisée principalement pour traiter Diarrhée, troubles digestifs, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Prunellier est idéale pour Diarrhée, troubles digestifs, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Aucune connue.
    
    En résumé, la tisane de Prunellier est idéale pour Diarrhée, troubles digestifs grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
59,Réglisse,Glycyrrhiza glabra,Asie;Méditerranée,Racine,Glycyrrhizine;flavonoïdes;saponines,Anti-inflammatoire;antitussif,Maux de gorge;toux,Hypertension;grossesse,,"La tisane de Réglisse (Glycyrrhiza glabra) est originaire de Asie;Méditerranée. 
    Elle est issue des Racine et contient des composants tels que Glycyrrhizine;flavonoïdes;saponines. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Anti-inflammatoire, antitussif. 
    Utilisée principalement pour traiter Maux de gorge, toux, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Réglisse est idéale pour Maux de gorge, toux, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Hypertension;grossesse.
    
    En résumé, la tisane de Réglisse est idéale pour Maux de gorge, toux grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
60,Reine des prés,Filipendula ulmaria,Europe,Fleurs,Salicylates;flavonoïdes;tanins,Anti-inflammatoire;diurétique,Douleurs articulaires;fièvre,Allergie aux salicylates,,"La tisane de Reine des prés (Filipendula ulmaria) est originaire de Europe. 
    Elle est issue des Fleurs et contient des composants tels que Salicylates;flavonoïdes;tanins. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Anti-inflammatoire, diurétique. 
    Utilisée principalement pour traiter Douleurs articulaires, fièvre, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Reine des prés est idéale pour Douleurs articulaires, fièvre, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Allergie aux salicylates.
    
    En résumé, la tisane de Reine des prés est idéale pour Douleurs articulaires, fièvre grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
61,Reishi,Ganoderma lucidum,Asie,Champignon,Polysaccharides;triterpènes;stérols,Immunomodulatrice;anti-inflammatoire,Renforcement du système immunitaire;fatigue,Aucune connue,,"La tisane de Reishi (Ganoderma lucidum) est originaire de Asie. 
    Elle est issue des Champignon et contient des composants tels que Polysaccharides;triterpènes;stérols. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Immunomodulatrice, anti-inflammatoire. 
    Utilisée principalement pour traiter Renforcement du système immunitaire, fatigue, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Reishi est idéale pour Renforcement du système immunitaire, fatigue, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Aucune connue.
    
    En résumé, la tisane de Reishi est idéale pour Renforcement du système immunitaire, fatigue grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
62,Romarin,Rosmarinus officinalis,Méditerranée,Feuilles,Acide rosmarinique;camphre;carnosol,Tonique;cognitive;digestive,Fatigue mentale;troubles digestifs,Hypertension,,"La tisane de Romarin (Rosmarinus officinalis) est originaire de Méditerranée. 
    Elle est issue des Feuilles et contient des composants tels que Acide rosmarinique;camphre;carnosol. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Tonique, cognitive, digestive. 
    Utilisée principalement pour traiter Fatigue mentale, troubles digestifs, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Romarin est idéale pour Fatigue mentale, troubles digestifs, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Hypertension.
    
    En résumé, la tisane de Romarin est idéale pour Fatigue mentale, troubles digestifs grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
63,Sarrasin,Fagopyrum esculentum,Europe,Graines,Rutine;flavonoïdes;protéines,Antioxydante;digestive,Troubles digestifs;insuffisance veineuse,Aucune connue,,"La tisane de Sarrasin (Fagopyrum esculentum) est originaire de Europe. 
    Elle est issue des Graines et contient des composants tels que Rutine;flavonoïdes;protéines. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Antioxydante, digestive. 
    Utilisée principalement pour traiter Troubles digestifs, insuffisance veineuse, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Sarrasin est idéale pour Troubles digestifs, insuffisance veineuse, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Aucune connue.
    
    En résumé, la tisane de Sarrasin est idéale pour Troubles digestifs, insuffisance veineuse grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
65,Sauge,Salvia officinalis,Méditerranée,Feuilles,Thujone;camphre;acides phénoliques,Antiseptique;tonique,Bouffées de chaleur;maux de gorge,Grossesse;allaitement,,"La tisane de Sauge (Salvia officinalis) est originaire de Méditerranée. 
    Elle est issue des Feuilles et contient des composants tels que Thujone;camphre;acides phénoliques. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Antiseptique, tonique. 
    Utilisée principalement pour traiter Bouffées de chaleur, maux de gorge, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Sauge est idéale pour Bouffées de chaleur, maux de gorge, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Grossesse;allaitement.
    
    En résumé, la tisane de Sauge est idéale pour Bouffées de chaleur, maux de gorge grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
66,Serpolet,Thymus serpyllum,Europe,Feuilles,Thymol;carvacrol;flavonoïdes,Antibactérienne;digestive,Infections respiratoires;toux,Aucune connue,,"La tisane de Serpolet (Thymus serpyllum) est originaire de Europe. 
    Elle est issue des Feuilles et contient des composants tels que Thymol;carvacrol;flavonoïdes. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Antibactérienne, digestive. 
    Utilisée principalement pour traiter Infections respiratoires, toux, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Serpolet est idéale pour Infections respiratoires, toux, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Aucune connue.
    
    En résumé, la tisane de Serpolet est idéale pour Infections respiratoires, toux grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
67,Thé noir,Camellia sinensis,Asie,Feuilles,Théine;catéchines;flavonoïdes,Stimulante;antioxydante,Fatigue;digestion difficile,Insomnie;hypertension,,"La tisane de Thé noir (Camellia sinensis) est originaire de Asie. 
    Elle est issue des Feuilles et contient des composants tels que Théine;catéchines;flavonoïdes. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Stimulante, antioxydante. 
    Utilisée principalement pour traiter Fatigue, digestion difficile, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Thé noir est idéale pour Fatigue, digestion difficile, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Insomnie;hypertension.
    
    En résumé, la tisane de Thé noir est idéale pour Fatigue, digestion difficile grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
68,Thé rooibos,Aspalathus linearis,Afrique du Sud,Feuilles,Flavonoïdes;antioxydants;minéraux,Antioxydante;digestive,Troubles digestifs;fatigue,Aucune connue,,"La tisane de Thé rooibos (Aspalathus linearis) est originaire de Afrique du Sud. 
    Elle est issue des Feuilles et contient des composants tels que Flavonoïdes;antioxydants;minéraux. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Antioxydante, digestive. 
    Utilisée principalement pour traiter Troubles digestifs, fatigue, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Thé rooibos est idéale pour Troubles digestifs, fatigue, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Aucune connue.
    
    En résumé, la tisane de Thé rooibos est idéale pour Troubles digestifs, fatigue grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
69,Thé vert,Camellia sinensis,Asie,Feuilles,Catéchines;flavonoïdes;caféine,Antioxydante;stimulante,Fatigue;troubles métaboliques,Insomnie;grossesse,,"La tisane de Thé vert (Camellia sinensis) est originaire de Asie. 
    Elle est issue des Feuilles et contient des composants tels que Catéchines;flavonoïdes;caféine. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Antioxydante, stimulante. 
    Utilisée principalement pour traiter Fatigue, troubles métaboliques, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Thé vert est idéale pour Fatigue, troubles métaboliques, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Insomnie;grossesse.
    
    En résumé, la tisane de Thé vert est idéale pour Fatigue, troubles métaboliques grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
70,Thym,Thymus vulgaris,Méditerranée,Feuilles,Thymol;carvacrol;flavonoïdes,Antibactérienne;expectorante,Infections respiratoires;toux,Grossesse;enfants en bas âge,,"La tisane de Thym (Thymus vulgaris) est originaire de Méditerranée. 
    Elle est issue des Feuilles et contient des composants tels que Thymol;carvacrol;flavonoïdes. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Antibactérienne, expectorante. 
    Utilisée principalement pour traiter Infections respiratoires, toux, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Thym est idéale pour Infections respiratoires, toux, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Grossesse;enfants en bas âge.
    
    En résumé, la tisane de Thym est idéale pour Infections respiratoires, toux grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
71,Thym citron,Thymus citriodorus,Méditerranée,Feuilles,Thymol;citral;flavonoïdes,Antiseptique;digestive,Infections respiratoires;digestion lente,Grossesse,,"La tisane de Thym citron (Thymus citriodorus) est originaire de Méditerranée. 
    Elle est issue des Feuilles et contient des composants tels que Thymol;citral;flavonoïdes. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Antiseptique, digestive. 
    Utilisée principalement pour traiter Infections respiratoires, digestion lente, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Thym citron est idéale pour Infections respiratoires, digestion lente, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Grossesse.
    
    En résumé, la tisane de Thym citron est idéale pour Infections respiratoires, digestion lente grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
72,Tilleul,Tilia cordata,Europe,Fleurs,Flavonoïdes;mucilages;tanins,Sédative;calmante,Insomnie;stress;anxiété,Hypotension,,"La tisane de Tilleul (Tilia cordata) est originaire de Europe. 
    Elle est issue des Fleurs et contient des composants tels que Flavonoïdes;mucilages;tanins. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Sédative, calmante. 
    Utilisée principalement pour traiter Insomnie, stress, anxiété, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Tilleul est idéale pour Insomnie, stress, anxiété, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Hypotension.
    
    En résumé, la tisane de Tilleul est idéale pour Insomnie, stress, anxiété grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
73,Tournesol,Helianthus annuus,Europe,Fleurs;Graines,Flavonoïdes;acides phénoliques;vitamines,Anti-inflammatoire;antioxydante,Fatigue;troubles digestifs,Aucune connue,,"La tisane de Tournesol (Helianthus annuus) est originaire de Europe. 
    Elle est issue des Fleurs;Graines et contient des composants tels que Flavonoïdes;acides phénoliques;vitamines. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Anti-inflammatoire, antioxydante. 
    Utilisée principalement pour traiter Fatigue, troubles digestifs, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Tournesol est idéale pour Fatigue, troubles digestifs, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Aucune connue.
    
    En résumé, la tisane de Tournesol est idéale pour Fatigue, troubles digestifs grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
74,Trèfle rouge,Trifolium pratense,Europe,Fleurs,Isoflavones;flavonoïdes;tanins,Phytoestrogénique;anti-inflammatoire,Bouffées de chaleur;rhumatismes,Grossesse,,"La tisane de Trèfle rouge (Trifolium pratense) est originaire de Europe. 
    Elle est issue des Fleurs et contient des composants tels que Isoflavones;flavonoïdes;tanins. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Phytoestrogénique, anti-inflammatoire. 
    Utilisée principalement pour traiter Bouffées de chaleur, rhumatismes, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Trèfle rouge est idéale pour Bouffées de chaleur, rhumatismes, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Grossesse.
    
    En résumé, la tisane de Trèfle rouge est idéale pour Bouffées de chaleur, rhumatismes grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
75,Valériane,Valeriana officinalis,Europe;Asie,Racine,Valépotriates;acides sesquiterpéniques;flavonoïdes,Sédative;anxiolytique,Insomnie;nervosité;anxiété,Grossesse;allaitement,,"La tisane de Valériane (Valeriana officinalis) est originaire de Europe;Asie. 
    Elle est issue des Racine et contient des composants tels que Valépotriates;acides sesquiterpéniques;flavonoïdes. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Sédative, anxiolytique. 
    Utilisée principalement pour traiter Insomnie, nervosité, anxiété, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Valériane est idéale pour Insomnie, nervosité, anxiété, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Grossesse;allaitement.
    
    En résumé, la tisane de Valériane est idéale pour Insomnie, nervosité, anxiété grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
76,Verveine,Aloysia citrodora,Amérique du Sud,Feuilles,Citral;géraniol;limonène,Digestive;calmante,Digestion difficile;stress;insomnie,Aucune connue,,"La tisane de Verveine (Aloysia citrodora) est originaire de Amérique du Sud. 
    Elle est issue des Feuilles et contient des composants tels que Citral;géraniol;limonène. 
    Ces composants sont reconnus pour leurs effets bénéfiques, notamment pour leurs propriétés Digestive, calmante. 
    Utilisée principalement pour traiter Digestion difficile, stress, insomnie, cette tisane est particulièrement prisée dans les remèdes naturels.

    La tisane de Verveine est idéale pour Digestion difficile, stress, insomnie, offrant une solution naturelle et efficace pour améliorer la santé et le bien-être. 
    
    Précautions d'utilisation : Aucune connue.
    
    En résumé, la tisane de Verveine est idéale pour Digestion difficile, stress, insomnie grâce à ses multiples bienfaits et constitue un ingrédient incontournable pour ceux qui recherchent des solutions naturelles."
